ID,R2010,R2011,R2012,R2013,R2014,R2015,R2016,R2017,R2018,R2019,R2020,R2021,R2022
233690,1199757.0,1231692.0,1779543.0,1397016.0,1592675.0,1374867.0,1841967.0,871187.0,3378683.0,3786478.0,1071903.0,6304305.0,13221128.0
233697,185135.12,55485.0,88909.0,1349.0,17938.0,14289.0,6629.0,12581.0,15816.0,-2194.0,104.0,-22713.0,-90791.0
233711,127711.0,30206.0,182146.0,75295.0,33798.0,90138.0,809935.0,-395516.0,-441565.0,-2245454.0,749598.0,761360.0,1350377.0
233872,535821.0,488104.0,121626.0,117983.0,396089.0,131761.0,72487.0,92898.0,97307.0,86465.0,43689.2615,913.523,93697.0
233907,325561.0,12249.0,619980.0,191065.0,-673864.0,319984.0,1819138.0,2335617.0,1523279.0,1828620.0,2254289.0,2704251.0,6000305.0
233956,59757.0,140034.0,13112.0,1553.0,10915.0,1283.0,76813.0,-26434.0,46213.0,21071.0,82438.0,47675.0,40557.0
234054,5849485.625,7822422.0,7295769.0,7684373.25,8072977.5,8461581.75,8850186.0,5566758.0,3980685.0,2283456.0,7782731.0,8217320.0,-5824432.0
234257,-553518.0,387305.0,21861.0,294813.0,306041.0,-369018.0,-2583547.0,-1820896.0,-777422.0,-2025721.0,-8601458.0,-7452107.0,2052866.0
234341,3324104.0,3758516.0,4508288.0,5258060.0,1086504.0,1045579.976,1004655.952,3246274.4760000003,5487893.0,7232918.333333333,8977943.666666666,10722969.0,4627195.0
234411,-66242.0,314555.0,325179.0,367404.0,392120.0,426873.0,198146.0,-3601751.0,1406950.0,1121130.0,3725237.0,1062145.0,-451054.0
