ID,AC2010,AC2011,AC2012,AC2013,AC2014,AC2015,AC2016,AC2017,AC2018,AC2019,AC2020,AC2021,AC2022,Diccionario!A1
89023335,3845211,4225171,4187615,3758098,3354203,3464971,4344099,4736406,3725529,3870881,0,5324387,7854990,
89052788,3970101,4948794,5687019,"7197616,70935",8382026,9107773,11147186,11377171,11519473,"10588517,259",11083426,12093074,12516860,
89073211,1872051,2148989,2109916,2464461,2831719,2969862,2925837,3370772,3665976,3616321,3588600,3812517,4669996,
89085005,25644564,30602458,28809595,14214386,9826508,5381742,2548845,2392735,1116527,953044,0,0,728756,
89085754,"1654380,919",2771729,"5991942,619",8716856,9204554,9217091,10752162,11554862,12363350,13493351,12681011,14244770,12684583,
89086608,"2390091,968",3628414,"5534053,977",5035914,4509866,5704892,7689141,7190682,8596183,6683694,7724285,12681298,8913141,
89087602,3463319,4786526,5187916,7508893,13443916,9754413,7961965,8564475,13657879,15324541,20912853,24300570,30596984,
89089261,"3722676,326",3622563,4285570,6822063,8451611,6871882,7136404,6727492,5914604,5760248,5756740,5717976,5679702,
89090095,"2180918,969",239669,1635498,2169910,4318045,6441699,17668523,19810601,30170047,29800888,21022185,0,0,
89090102,6317424,7864247,7412725,6222378,5436581,5247695,5740493,5402470,5541947,5654104,4743160,5026366,4474398,
