ID,PT2011,PT2012,PT2013,PT2014,PT2015,PT2016,PT2017,PT2018,PT2019,PT2020,PT2021,PT2022,Diccionario!A1
76719390,3734728,4140824,3994101,5202828,6445104,9849722,8260255,12710093,28834488,27636507,30190067,24577241,
76725502,3060335,3629854,4297696,5688488,3107278,3774491,4318136,5183963,8734960,9254583,10597159,11480118,
76727148,4269046,5564460,5848240,8075621,9575709,10838816,11020561,10624609,13075403,"12781738,536",18626409,20853255,
76727155,"4659808,199","5429426,08","5685339,758",1461748,0,7255871,8071657,9444384,8387293,8877755,9123349,8823718,
76727190,1122445,1294581,1447455,1591093,1799537,5352087,6265419,7049421,5568925,6257886,6945117,583711,
76732486,"101977,001",320423,"299622,685",2018360,1003787,3183355,3456675,3884393,4114695,4517192,3323827,3530927,
76732983,4346860,5167889,5218891,4561906,4614102,3625744,3875865,4378014,5571837,8709507,22387023,27236653,
76797423,"1845881,844","4143490,688",4207482,4310929,4288761,4479814,4261407,4224228,5615861,5612242,5626523,5602202,
76799712,7484647,7218861,7609313,6742171,6675615,6593624,8151144,10053375,10722118,10746423,10785891,13199169,
76805061,1111523,1132078,1266338,1677166,2028349,2336712,2932664,3859436,5322657,5715240,6361546,7132810,
76807959,1746404,1757223,1761737,1773585,2896348,8852578,13148729,13300256,13517569,21566492,18277286,21608307,
77091033,7096598,7311326,9508827,12337589,15423239,35514195,32324806,35610445,43622801,64683539,79070292,96573651,
77105486,13668660,13844885,13629898,13376447,13218251,9952243,11250934,9960840,10605642,11349181,11785658,11981450,
77105875,4571340,4831158,4883149,4919617,3428150,8036391,8350790,8401072,8322417,8491257,8598125,8103335,
77107577,"334617,227","661232,761","1061210,472",1538946,1995370,7130738,8139629,13691253,14131533,14851560,16302797,16811994,
77108649,2013000,2523183,3024371,5076294,5851106,15656880,16876462,17539058,23344382,29491481,39467462,42031706,
77109377,"960890,069","1245047,253","1575141,711",1572733,2518024,2236672,2941602,3725958,5673738,7561744,10505121,10428128,
77110136,"318301,434","489394,88",676602,865202,1066537,2196468,2291140,3355242,3446984,3538159,3602431,3685998,
77111460,4552351,7146253,8542000,7199692,14338751,9742340,11030292,12759876,15462883,12764114,18547654,24659301,
77112594,448614,608243,484775,1255791,1515685,1569134,1633625,1633625,2568752,2916086,3356602,4150536,
77113658,879036,1270769,1908027,2449400,0,2938521,"2647057,294",2878562,3004668,3261116,3316614,3803798,
77216188,338068,348853,340561,369489,454684,849445,1835133,1575336,1052778,1110876,2211360,4407135,
77220375,2148004,2817871,3154000,3678483,4179386,16082657,17116292,18245667,19072362,22318482,23414712,33323302,
77526303,3265211,3452523,3518655,3578009,3594475,3359366,3348583,3485861,3659202,5278570,4832289,6017209,
77529432,60980,2640657,2568343,1686067,-279677,4822738,4687337,3597107,7522810,10752090,17964400,30460077,
77535719,0,1259846,1414818,3320511,3336611,5812008,10790077,10871235,10889155,10892477,10907958,0,
78098760,1954740,2351910,2591753,2690192,1581796,1430873,1016205,1146188,822570,710489,174671,0,
78115663,300055,562446,577958,530139,780399,953591,740081,822722,1144756,3223188,4191078,5487902,
78121519,"1700917,054",1563935,1800688,1836907,1891156,1937767,1865084,1828227,3384065,"4183936,181","4589574,508",4603697,
78241845,17971383,19885594,21499694,22504079,16814830,8704727,7381096,5823943,6224270,5938179,6003818,6177516,
